"5 tangó (Manen)","FB","A/1/8A",
"5 tangó (Manen)","FB","A/1/8B",
"Mester és Margarita (Szente)","FSZ","S/2/2BE",
"Mester és Margarita (Szente)","FSZ","S/2/3",
"Mester és Margarita (Szente)","FSZ","S/2/4AH",
"Mester és Margarita (Szente)","NSZ","S/2/4AE",
"Mester és Margarita (Szente)","NSZ","S/2/4BH",
"Mester és Margarita (Szente)","FST","S/2/5",
"Mester és Margarita (Szente)","NST","S/2/6AH",
"Mester és Margarita (Szente)","FB","S/2/6AH",
"Mester és Margarita (Szente)","FB","S/2/6B",
"Mester és Margarita (Szente)","FB","S/2/6AE"
"Mester és Margarita (Szente)","NB","S/2/7",
"A bahcsiszeráji szökőkút (Zaharov)","FB","B/1/4B",
"A bahcsiszeráji szökőkút (Zaharov)","NB","B/1/5A",
"A bahcsiszeráji szökőkút (Zaharov)","FB","B/1/5B",
"A bahcsiszeráji szökőkút (Zaharov)","FB","B/1/6",
"A bahcsiszeráji szökőkút (Zaharov)","FB","B/1/7A",
"A bahcsiszeráji szökőkút (Zaharov)","NB","B/1/7B",
"A bahcsiszeráji szökőkút (Zaharov)","NB","B/1/8",
"A bahcsiszeráji szökőkút (Zaharov)","NB","B/1/9A",
"A bahcsiszeráji szökőkút (Zaharov)","FST","B/1/9B",
"A bahcsiszeráji szökőkút (Zaharov)","NST","B/1/10",
"A bajadér (Petipa)","FB","C/1/1A",
"A bajadér (Petipa)","NB","C/1/1B"
"A bajadér (Petipa)","FB","C/1/2"
"A bajadér (Petipa)","NB","C/1/3"
"A bajadér (Petipa)","FST","C/1/4A"
"A bánya (Kiljunen)","FSZ","AA/1/3B"
"A bánya (Kiljunen)","NSZ","AA/1/4A"
"A bánya (Kiljunen)","FK","AA/1/5A"
"A bánya (Kiljunen)","NK","AA/1/5B"
"A bánya (Kiljunen)","FST","AA/1/6A"
"A bánya (Kiljunen)","NST","AA/1/6B"
"A bolygó hollandi nyitánya (Nagy)","FB","A/1/1A"
"A cremonai hegedűs  (Varga)","FSZ","X/1/5B"
"A cremonai hegedűs (Varga)","NSZ","X/1/5B"
"A cremonai hegedűs (Varga)","FK","X/1/6A"
"A cremonai hegedűs (Varga)","NK","X/1/6B"
"A cremonai hegedűs (Varga)","FST","X/1/7A"
"A csengő (Fehér)","NSZ","X/1/7A"
"A csengő (Fehér)","FSZ","X/1/7A"
"A csengő (Fehér)","FK","X/1/7B"
"A csodálatos mandarin (Seregi)","FB","H/1/5B"
"A csodálatos mandarin (Seregi)","NB","H/1/5B"
"A csodálatos mandarin (Harangozó)","FB","H/1/5B"
"A csodálatos mandarin (Harangozó)","NB","H/1/5B"
"A diótörő (Eagling)","FB","OP/D "
"A diótörő (Eagling)","FB","OP/D"
"A diótörő (Eagling)","NB","C/1/6"
"A diótörő (Eagling)","FB","OP (C/1/7)"
"A diótörő (Eagling)","FB","OP (C/1/8)"
"A diótörő (Eagling)","FB","OP (C/1/9)"
"A diótörő (Eagling)","FB","OP (C/1/10)"
"A diótörő (Eagling)","NB","D/1/1"
"A diótörő (Eagling)","NB","D/1/2"
"A diótörő (Eagling)","NB","D/1/3"
"A diótörő (Eagling)","NB","D/1/4"
"A diótörő (Eagling)","FST","D/1/5"
"A diótörő (Eagling)","NST","D/1/6A"
"A diótörő (Vajnonen)","NB","B/2/9"
"A diótörő (Vajnonen)","NB","B/2/8"
"A diótörő (Vajnonen)","NB","B/2/7B"
"A diótörő (Vajnonen)","FB","B/2/7A"
"A diótörő (Vajnonen)","FB","B/2/6"
"A diótörő (Vajnonen)","FB","B/2/5B"
"A diótörő (Vajnonen)","FB","B/2/5A"
"A fából faragott királyfi (Frenák)","FB","A/1/6A"
"A fából faragott királyfi (Frenák)","NB","A/1/6B"
"A florentin kalap (Sipos)","FK","T/1/9B"
"A florentin kalap (Sipos)","NK","T/1/10A"
"A florentin kalap (Sipos)","FST","T/1/10B"
"A florentin kalap (Sipos)","NST","T/1/10B"
"A hattyúk tava (Dantzig)","FB","K/1/8B"
"A hattyúk tava (Dantzig)","FB","K/1/9A"
"A hattyúk tava (Dantzig)","NB","K/1/9B"
"A hattyúk tava (Dantzig)","FB","K/1/10"
"A hattyúk tava (Dantzig)","FB","L/1/1"
"A hattyúk tava (Dantzig)","FB","L/1/2A"
"A hattyúk tava (Dantzig)","NB","L/1/2B"
"A hattyúk tava (Dantzig)","NB","L/1/3"
"A hattyúk tava (Dantzig)","NB","L/1/4"
"A hattyúk tava (Dantzig)","FST","L/1/5A"
"A hattyúk tava (Dantzig)","NST","L/1/5B"
"A hattyúk tava (Dantzig)","NST","L/1/6A"
"A hattyúk tava (Petipa)","NB","A/2/5"
"A hattyúk tava (Petipa)","NB","A/2/4B"
"A hattyúk tava (Petipa)","FB","A/2/4A"
"A hattyúk tava (Petipa)","FB","A/2/3B"
"A hattyúk tava (Petipa)","FB","A/2/3A"
